PLZ4;Distanz v. Olten
1976;217.35
1976;217.35
1977;236.908
1978;236.908
1978;239.046
1981;232.11
1982;234.861
1982;239.289
1983;252.138
1983;252.138
1984;252.138
1984;252.138
1985;252.138
1985;252.138
1985;252.138
1986;252.138
1987;234.861
1988;232.11
1988;232.11
1991;221.14
1991;231.477
1991;221.14
1991;221.14
1991;221.14
1991;221.14
1992;221.14
1992;232.11
1992;221.14
1992;221.14
1992;221.14
1993;225.654
1993;221.14
1993;231.477
1993;225.654
1994;225.654
1994;221.14
1996;225.654
1996;225.654
1996;225.654
1996;225.654
1996;225.654
1996;225.654
1996;225.654
1996;225.654
1997;225.654
1997;218.112
1997;225.654
1997;225.654
2000;104.2
2000;97.121
2000;101.346
2012;104.2
2013;106.235
2013;104.2
2014;106.235
2014;104.2
2015;106.235
2016;107.164
2017;106.235
2019;105.602
2019;104.633
2019;106.235
2019;105.602
2022;107.164
2022;999.999
2023;999.999
2024;999.999
2025;999.999
2027;999.999
2027;999.999
2028;119.746
2028;999.999
2034;99.408
2035;101.897
2035;105.602
2036;101.897
2036;104.2
2037;101.897
2037;104.633
2037;105.602
2042;101.346
2042;104.633
2043;104.633
2046;104.633
2052;104.633
2052;104.633
2053;104.633
2054;104.633
2054;104.633
2056;104.633
2057;104.633
2058;104.633
2063;104.633
2063;104.633
2063;104.633
2063;104.633
2065;104.633
2067;86.324
2067;97.121
2067;104.633
2068;92.117
2072;86.702
2072;84.968
2072;91.265
2073;86.324
2073;82.545
2074;90.139
2075;86.702
2075;90.139
2075;90.139
2087;86.702
2087;84.968
2088;84.968
2103;105.602
2103;999.999
2103;124.322
2105;119.029
2105;124.322
2108;120.717
2108;124.322
2112;124.322
2113;124.322
2114;124.322
2115;168.221
2115;124.322
2116;124.322
2117;168.221
2123;124.322
2124;134.442
2124;124.322
2126;135.931
2126;124.322
2127;124.322
2149;106.235
2149;105.602
2149;105.602
2149;105.602
2206;104.633
2207;104.633
2208;104.633
2300;105.961
2300;105.961
2314;105.961
2314;122.305
2314;104.633
2316;119.029
2316;124.322
2316;119.029
2318;105.602
2318;119.131
2318;124.322
2322;105.961
2322;123.279
2325;107.828
2333;103.295
2333;89.443
2333;98.635
2333;103.295
2336;98.635
2336;96.1
2338;92.436
2338;92.436
2340;96.1
2345;83.677
2345;89.199
2345;88.331
2345;92.436
2345;96.1
2345;85.414
2345;89.443
2345;92.436
2345;88.331
2350;92.167
2353;95.337
2353;92.167
2354;92.167
2360;90.765
2362;89.924
2362;89.924
2363;90.765
2363;95.337
2364;81.991
2400;122.353
2400;123.279
2400;127.175
2400;124.23
2400;123.279
2405;127.175
2405;124.23
2406;134.442
2406;127.175
2406;134.442
2406;134.442
2406;124.23
2406;134.442
2406;135.931
2406;124.322
2414;127.175
2416;122.353
2416;123.279
2500;61.854
2502;61.854
2503;61.854
2503;64.959
2504;61.854
2504;64.959
2504;62.247
2505;61.854
2505;72.54
2512;72.54
2513;76.585
2513;72.54
2514;79.369
2514;76.585
2515;74.738
2516;74.738
2516;72.54
2517;74.738
2518;78.204
2518;104.633
2520;79.369
2520;82.545
2523;79.369
2523;78.204
2523;74.738
2523;82.545
2523;81.506
2523;104.633
2525;90.144
2525;82.545
2532;61.854
2532;68.061
2533;68.061
2534;65.23
2534;73.173
2534;65.23
2534;78.204
2535;65.23
2535;66.861
2535;65.885
2536;56.932
2536;66.861
2537;66.861
2538;56.932
2540;50.708
2542;54.315
2543;52.926
2544;52.195
2545;46.339
2552;64.959
2552;62.247
2553;55.895
2554;53.58
2555;64.959
2556;60.721
2556;61.635
2557;70.38
2557;67.517
2558;65.233
2558;61.635
2560;65.048
2560;64.984
2562;65.731
2562;64.984
2563;65.731
2563;66.173
2564;65.731
2565;66.776
2572;68.197
2572;69.923
2575;73.48
2575;71.821
2575;71.821
2575;77.239
2575;73.48
2575;71.821
2576;77.239
2576;81.84
2577;84.534
2577;85.673
2603;56.932
2603;65.885
2604;65.885
2605;70.679
2606;73.173
2606;70.679
2607;76.132
2608;79.022
2608;73.173
2608;76.132
2608;79.022
2610;85.414
2610;85.414
2610;89.443
2610;85.414
2610;83.677
2610;80.528
2610;79.022
2610;83.677
2612;80.528
2613;80.528
2613;83.677
2615;89.443
2615;89.443
2616;93.531
2616;105.961
2616;104.633
2616;93.531
2710;78.697
2710;73.701
2712;81.554
2712;80.981
2713;81.554
2714;85.917
2714;85.917
2715;80.981
